success,Organization Name,Acquisition Status,IPO Status,Founded Date,Founded Date Precision,Last Funding Date,Number of Articles,Number of Founders,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Global Traffic Rank,SEMrush - Bounce Rate Growth,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,G2 Stack - Total Products Active,Money Raised Currency (in USD),Announced Date,Number of Investors,Seed Lag
0,BharatAgri,,Private,2017-01-01,year,2023-10-19,10,2.0,"278,138","87,280.33",414.70%,518,-69.49%,1.58,-51.42%,95.18%,"188,525",97.80%,"-446,924",-70.33%,20.0,1.0,21.0,500000.0,2019-01-01,1.0,730
0,SpotDraft,,Private,2017-01-01,year,2023-03-02,11,3.0,"40,743","69,175.83",-4.90%,"1,436",15.62%,2.69,20.73%,55.17%,"796,009",-5.37%,"45,397",6.05%,73.0,0.0,23.0,550000.0,2017-10-25,5.0,297
0,Hasura,,Private,2017-01-01,year,2022-02-22,50,2.0,"290,934","262,358.67",65.12%,784,-3.21%,1.6,-28.75%,80.55%,"182,344",33.10%,"-79,104",-30.26%,78.0,1.0,47.0,1600000.0,2018-04-25,2.0,479
1,Stanza Living,Made Acquisitions,Private,2017-01-01,year,2022-03-23,54,3.0,"529,394","729,396.67",-39.01%,422,-39.45%,1.33,-6.45%,73.08%,"116,554",9.14%,"37,951",48.28%,54.0,9.0,15.0,31019.0,2017-11-28,2.0,331
0,Loadshare Networks,,Private,2017-01-01,year,2022-02-01,4,4.0,"107,608","109,076.17",16.88%,"2,476",-21.72%,4.34,-15.59%,23.54%,"385,912",13.94%,"-41,440",-9.70%,22.0,7.0,17.0,500000.0,2017-05-30,1.0,149
0,ITILITE,,Private,2017-01-01,year,2022-04-13,12,2.0,"81,573","29,669",754.17%,659,449.17%,1.5,9.41%,89.38%,"473,437",6.24%,"-1,470,284",-75.64%,56.0,2.0,28.0,500000.0,2017-11-09,1.0,312
0,Propelld,,Private,2017-01-01,year,2022-02-18,6,3.0,"135,681","227,641.33",130.56%,"2,951",200.20%,4.14,136.81%,42.99%,"323,865",-38.05%,"-272,480",-45.69%,47.0,1.0,10.0,250000.0,2018-08-08,3.0,584
0,Pesto Tech,,Private,2017-01-01,year,2021-06-28,5,3.0,"13,341","53,267.83",-92.73%,103,-83.20%,1.89,75.16%,42.58%,"1,621,281",-56.21%,"1,367,838",539.70%,65.0,0.0,43.0,500000.0,2019-09-18,1.0,990
0,QuickSell,,Private,2017-01-01,year,2021-06-08,2,1.0,"699,241","561,317.83",9.22%,"1,589",134.02%,1.9,22.01%,65.76%,"94,468",-5.86%,"-4,539",-4.58%,77.0,3.0,19.0,225000.0,2017-03-01,4.0,59
0,Carmesi,,Private,2017-01-01,year,2018-08-16,0,2.0,"315,792","328,439.33",324.74%,100,244.83%,4.02,166.07%,59.13%,"171,607",-0.69%,"-327,757",-65.63%,59.0,0.0,17.0,500000.0,2018-08-16,1.0,592
0,Senseforth,,Private,2017-01-01,year,2021-08-26,6,3.0,"5,463","4,133.67",120.02%,306,13350%,1.04,4.01%,95.99%,"2,594,361",-4.01%,"-999,712",-27.82%,42.0,0.0,14.0,2000000.0,2017-06-02,1.0,152
0,Kutuki,,Private,2017-01-01,year,2021-02-24,0,2.0,"103,662","29,728",5077.92%,0,-50%,1.0,-23.73%,100%,"397,102",45.18%,"-3,471,398",-89.73%,49.0,2.0,19.0,500000.0,2019-01-29,2.0,758
0,Eunimart,,Private,2017-01-01,month,2023-02-02,4,2.0,439,"1,752",-75.38%,37,-78.36%,4.0,68.21%,0%,"6,632,815",-62.21%,"2,419,875",57.44%,85.0,0.0,22.0,500000.0,2019-09-19,1.0,991
0,MyScoot,,Private,2017-01-01,year,2019-07-30,0,4.0,245,"1,594.50",-34.49%,0,-93.98%,1.0,0%,100%,"7,575,829",0%,"555,801",7.92%,51.0,1.0,19.0,1700000.0,2019-07-30,5.0,940
1,Upwards Fintech,Was Acquired,Private,2017-01-01,year,2018-09-11,0,2.0,"1,137,856","430,392.67",264.77%,"1,112",-39.70%,1.19,-7%,88.47%,"65,273",20.27%,"-104,794",-61.62%,9.0,2.0,12.0,500000.0,2017-12-04,1.0,337
0,Kredily,,Private,2017-01-01,year,2022-09-01,0,1.0,"120,894","197,757.50",-38.14%,961,49.92%,5.96,53.98%,26.53%,"352,947",-28.32%,"111,400",46.12%,29.0,3.0,22.0,750000.0,2019-06-14,3.0,894
0,LegitQuest,,Private,2017-01-01,year,2021-08-17,0,3.0,"2,591","9,814",-51.15%,"1,094",8315.38%,4.87,197.54%,54.15%,"3,532,011",-24.34%,"861,124",32.24%,8.0,1.0,16.0,424298.0,2019-11-01,2.0,1034
0,Pocket52,,Private,2017-01-01,year,2020-06-02,2,4.0,"4,916,062","2,951,494.50",64.14%,578,-53.50%,1.18,1.61%,86.79%,"19,886",-0.65%,"-9,233",-31.71%,42.0,2.0,12.0,500000.0,2018-12-24,1.0,722
0,Kraftshala,,Private,2017-01-01,day,2021-12-20,2,2.0,"16,191","59,027",-72.73%,276,-67.68%,1.29,-2.09%,82.24%,"1,444,528",-6.08%,"851,469",143.57%,71.0,1.0,17.0,100000.0,2019-02-20,3.0,780
0,Multibhashi,,Private,2017-01-01,year,2021-04-15,2,3.0,"412,431","435,243.50",119.51%,193,-69.02%,1.45,21.78%,64.67%,"140,519",-27.23%,"-108,227",-43.51%,73.0,1.0,18.0,139692.0,2018-09-04,3.0,611
0,Verzeo,,Private,2017-01-01,year,2018-09-10,0,1.0,"2,372","5,808.17",-42.16%,23,-95.67%,3.06,45.88%,28.04%,"3,653,802",-54.09%,"725,579",24.78%,13.0,0.0,27.0,500000.0,2018-04-01,1.0,455
0,Rapawalk,,Private,2017-01-01,year,2020-11-12,2,2.0,"2,895","8,931.67",-54.06%,109,-12.10%,4.1,169.58%,15.41%,"3,374,372",-76.64%,"952,857",39.35%,9.0,0.0,6.0,500000.0,2018-10-11,1.0,648
0,GuruQ,,Private,2017-01-01,month,2018-10-23,1,1.0,"6,378","12,654.17",-89.20%,"1,586",414.94%,1.81,-68.88%,53.47%,"2,417,364",1550.31%,"1,822,167",306.15%,56.0,1.0,0.0,341387.0,2018-10-23,1.0,660
0,Picxy,,Private,2017-01-01,year,2020-08-21,6,3.0,"71,612","124,043",-34.84%,149,-65.51%,1.19,-45.14%,87.20%,"525,760",1.12%,"152,491",40.85%,17.0,1.0,11.0,130000.0,2018-06-02,1.0,517
0,Wizely,,Private,2017-01-01,year,2017-12-30,1,2.0,"92,686","51,821.67",29.36%,0,-71.32%,1.0,0%,100%,"431,743",0%,"-87,106",-16.79%,28.0,0.0,24.0,1500000.0,2017-12-30,2.0,363
